pmid,title,authors,affiliations,journal,pub_date,doi,citations,keywords,abstract,search_query,impact_factor,quartile,journal_full_name
38486452,The super-pangenome of Populus unveils genomic facets for its adaptation and diversification in widespread forest trees.,Shi Tingting; Zhang Xinxin; Hou Yukang; Jia Changfu; Dan Xuming; Zhang Yulin; Jiang Yuanzhong; Lai Qiang; Feng Jiajun; Feng Jianju; Ma Tao; Wu Jiali; Liu Shuyu; Zhang Lei; Long Zhiqin; Chen Liyang; Street Nathaniel R; Ingvarsson Pär K; Liu Jianquan; Yin Tongming; Wang Jing,"Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China.; College of Horticulture and Forestry, Tarim University, Alar 843300, China.; Umeå Plant Science Centre, Department of Plant Physiology, Umeå University, Umeå, Västerbotten, Sweden.; Linnean Centre for Plant Biology, Department of Plant Biology, Uppsala BioCenter, Swedish University of Agricultural Sciences, Uppsala, Sweden.; Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China. Electronic address: liujq@nwipb.cas.cn.; The Key Laboratory of Tree Genetics and Biotechnology of Jiangsu Province and Education Department of China, Nanjing Forestry University, Nanjing, Jiangsu, China. Electronic address: tmyin@njfu.com.cn.; Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China. Electronic address: wangjing2019@scu.edu.cn.",Molecular plant,2024-03-13,10.1016/j.molp.2024.03.009,0,"Genome, Plant; Transcriptome; structural variation; Forests; genome evolution; pangenomes; whole-genome duplication; Populus; Genomics; Adaptation, Physiological; Trees","Understanding the underlying mechanisms and links between genome evolution and adaptive innovations stands as a key goal in evolutionary studies. Poplars, among the world's most widely distributed and cultivated trees, exhibit extensive phenotypic diversity and environmental adaptability. In this study, we present a genus-level super-pangenome comprising 19 Populus genomes, revealing the likely pivotal role of private genes in facilitating local environmental and climate adaptation. Through the integration of pangenomes with transcriptomes, methylomes, and chromatin accessibility mapping, we unveil that the evolutionary trajectories of pangenes and duplicated genes are closely linked to local genomic landscapes of regulatory and epigenetic architectures, notably CG methylation in gene-body regions. Further comparative genomic analyses have enabled the identification of 142 202 structural variants across species that intersect with a significant number of genes and contribute substantially to both phenotypic and adaptive divergence. We have experimentally validated a ∼180-bp presence/absence variant affecting the expression of the CUC2 gene, crucial for leaf serration formation. Finally, we developed a user-friendly web-based tool encompassing the multi-omics resources associated with the Populus super-pangenome (http://www.populus-superpangenome.com). Together, the present pioneering super-pangenome resource in forest trees not only aids in the advancement of breeding efforts of this globally important tree genus but also offers valuable insights into potential avenues for comprehending tree biology.",pangenome,27.5,Q1,Molecular Plant
38382907,Leaf Vein Patterning.,Scarpella Enrico,"Department of Biological Sciences, University of Alberta, Edmonton, Alberta, Canada; email: enrico.scarpella@ualberta.ca.",Annual review of plant biology,2024-07-02,10.1146/annurev-arplant-062923-030348,0,auxin signaling; Indoleacetic Acids; auxin transport; Plant Leaves; Plant Growth Regulators; vascular pattern; plasmodesmata; Biological Transport; auxin production; venation; Signal Transduction; procambium,"Leaves form veins whose patterns vary from a single vein running the length of the leaf to networks of staggering complexity where huge numbers of veins connect to other veins at both ends. For the longest time, vein formation was thought to be controlled only by the polar, cell-to-cell transport of the plant hormone auxin; recent evidence suggests that is not so. Instead, it turns out that vein patterning features are best accounted for by a combination of polar auxin transport, facilitated auxin diffusion through plasmodesma intercellular channels, and auxin signal transduction-though the latter's precise contribution remains unclear. Equally unclear remain the sites of auxin production during leaf development, on which that vein patterning mechanism ought to depend. Finally, whether that vein patterning mechanism can account for the variety of vein arrangements found in nature remains unknown. Addressing those questions will be the exciting challenge of future research.",plant,21.3,Q1,Annual Review of Plant Biology
36854480,"Plant Small RNAs: Their Biogenesis, Regulatory Roles, and Functions.",Zhan Junpeng; Meyers Blake C,"Donald Danforth Plant Science Center, St. Louis, Missouri, USA; email: bmeyers@danforthcenter.org.; Division of Plant Science & Technology, University of Missouri-Columbia, Columbia, Missouri, USA.",Annual review of plant biology,2023-02-28,10.1146/annurev-arplant-070122-035226,0,"phasiRNA; MicroRNAs; Arabidopsis; plant development; Gene Expression Regulation, Plant; RNA, Plant; siRNA; Plants; mobile siRNA; Base Sequence; miRNA; RNA, Small Interfering","Plant cells accumulate small RNA molecules that regulate plant development, genome stability, and environmental responses. These small RNAs fall into three major classes based on their function and mechanisms of biogenesis-microRNAs, heterochromatic small interfering RNAs, and secondary small interfering RNAs-plus several other less well-characterized categories. Biogenesis of each small RNA class requires a pathway of factors, some specific to each pathway and others involved in multiple pathways. Diverse sequenced plant genomes, along with rapid developments in sequencing, imaging, and genetic transformation techniques, have enabled significant progress in understanding the biogenesis, functions, and evolution of plant small RNAs, including those that had been poorly characterized because they were absent or had low representation in Arabidopsis (Arabidopsis thaliana). Here, we review recent findings about plant small RNAs and discuss our current understanding of their biogenesis mechanisms, targets, modes of action, mobility, and functions in Arabidopsis and other plant species, including economically important crops.",plant,21.3,Q1,Annual Review of Plant Biology
36628655,Functions of WRKYs in plant growth and development.,Wang Houping; Chen Wanqin; Xu Zhiyu; Chen Mifen; Yu Diqiu,"State Key Laboratory for Conservation and Utilization of Bio-resources in Yunnan, Yunnan University, Kunming, China.; State Key Laboratory for Conservation and Utilization of Bio-resources in Yunnan, Yunnan University, Kunming, China. Electronic address: ydq@xtbg.ac.cn.",Trends in plant science,2023-01-09,10.1016/j.tplants.2022.12.012,0,"Plant Development; Animals; seed dormancy and germination; seed development; WRKY transcription factors; Gene Expression Regulation, Plant; flowering time; Plants; Transcription Factors; morphogenesis; Plant Proteins; Germination","As sessile organisms, plants must overcome various stresses. Accordingly, they have evolved several plant-specific growth and developmental processes. These plant processes may be related to the evolution of plant-specific protein families. The WRKY transcription factors originated in eukaryotes and expanded in plants, but are not present in animals. Over the past two decades, there have been many studies on WRKYs in plants, with much of the research concentrated on their roles in stress responses. Nevertheless, recent findings have revealed that WRKYs are also required for seed dormancy and germination, postembryonic morphogenesis, flowering, gametophyte development, and seed production. Thus, WRKYs may be important for plant adaptations to a sessile lifestyle because they simultaneously regulate stress resistance and plant-specific growth and development.",plant,20.5,Q1,Trends in Plant Science
36868907,Plant ecoacoustics: a sensory ecology approach.,Appel Heidi; Cocroft Reginald,"Department of Environmental Sciences, University of Toledo, Toledo, OH 43606, USA. Electronic address: heidi.appel@utoledo.edu.; Division of Biological Sciences, University of Missouri, Columbia, MO 65211, USA. Electronic address: cocroftr@umsystem.edu.",Trends in ecology & evolution,2023-03-01,10.1016/j.tree.2023.02.001,0,Environment; Animals; plant mechanobiology; Herbivory; plant acoustics; Insecta; Pollination; ecoacoustics; Ecology; plant–insect interactions; Plants; plant–pollinator interactions,"Many interactions of plants with the environment have an acoustic component, including the actions of herbivores and pollinators, wind and rain. Although plants have long been tested for their response to single tones or music, their response to naturally occurring sources of sound and vibration is barely explored. We argue that progress in understanding the ecology and evolution of plant acoustic sensing requires testing how plants respond to acoustic features of their natural environments, using methods that precisely measure and reproduce the stimulus experienced by the plant.",plant,16.8,Q1,Trends in Ecology & Evolution
39494517,COG database update 2024.,Galperin Michael Y; Vera Alvarez Roberto; Karamycheva Svetlana; Makarova Kira S; Wolf Yuri I; Landsman David; Koonin Eugene V,"Computational Biology Branch, Division of Intramural Research, National Library of Medicine, National Institutes of Health, 8600 Rockville Pike, Bethesda, MD 20894, USA.",Nucleic acids research,2025-01-06,10.1093/nar/gkae983,0,"Molecular Sequence Annotation; Bacterial Proteins; Bacteria; Genome, Archaeal; Genome, Bacterial; Databases, Genetic; Multigene Family; Archaea","The Clusters of Orthologous Genes (COG) database, originally created in 1997, has been updated to reflect the constantly growing collection of completely sequenced prokaryotic genomes. This update increased the genome coverage from 1309 to 2296 species, including 2103 bacteria and 193 archaea, in most cases, with a single representative genome per genus. This set covers all genera of bacteria and archaea that included organisms with 'complete genomes' as per NCBI databases in November 2023. The number of COGs has been expanded from 4877 to 4981, primarily by including protein families involved in bacterial protein secretion. Accordingly, COG pathways and functional groups now include secretion systems of types II through X, as well as Flp/Tad and type IV pili. These groupings allow straightforward identification and examination of the prokaryotic lineages that encompass-or lack-a particular secretion system. Other developments include improved annotations for the rRNA and tRNA modification proteins, multi-domain signal transduction proteins, and some previously uncharacterized protein families. The new version of COGs is available at https://www.ncbi.nlm.nih.gov/research/COG, as well as on the NCBI FTP site https://ftp.ncbi.nlm.nih.gov/pub/COG/, which also provides archived data from previous COG releases.",genome,14.9,Q1,Nucleic acids research
39088850,De Novo Genes.,Zhao Li; Svetec Nicolas; Begun David J,"Laboratory of Evolutionary Genetics and Genomics, The Rockefeller University, New York, NY, USA; email: lzhao@rockefeller.edu, nsvetec@rockefeller.edu.; Department of Evolution and Ecology, University of California, Davis, California, USA; email: djbegun@ucdavis.edu.",Annual review of genetics,2024-11-14,10.1146/annurev-genet-111523-102413,0,"Animals; small ORFs; Evolution, Molecular; regulation of expression; adaptive evolution; Gene Duplication; Genomics; Humans; Genome; gene loss; gene gain; de novo proteins","Although the majority of annotated new genes in a given genome appear to have arisen from duplication-related mechanisms, recent studies have shown that genes can also originate de novo from ancestrally nongenic sequences. Investigating de novo-originated genes offers rich opportunities to understand the origin and functions of new genes, their regulatory mechanisms, and the associated evolutionary processes. Such studies have uncovered unexpected and intriguing facets of gene origination, offering novel perspectives on the complexity of the genome and gene evolution. In this review, we provide an overview of the research progress in this field, highlight recent advancements, identify key technical and conceptual challenges, and underscore critical questions that remain to be addressed.",genome,11.1,Q1,Annual Review of Genetics
39552065,A gentle introduction to pangenomics.,Matthews Chelsea A; Watson-Haigh Nathan S; Burton Rachel A; Sheppard Anna E,"School of Agriculture, Food and Wine, Waite Campus, University of Adelaide, Urrbrae, South Australia 5064, Australia.; Australian Genome Research Facility, Victorian Comprehensive Cancer Centre, Melbourne, Victoria 3000, Australia.; South Australian Genomics Centre, SAHMRI, North Terrace, Adelaide, South Australia 5000, Australia.; Alkahest Inc., San Carlos, CA 94070, United States.; School of Biological Sciences, University of Adelaide, Adelaide, South Australia 5005, Australia.",Briefings in bioinformatics,2024-09-23,10.1093/bib/bbae588,0,reference bias; genomic variation; Genomics; presence–absence variation (PAV); Humans; pangenome; Genome,"Pangenomes have emerged in response to limitations associated with traditional linear reference genomes. In contrast to a traditional reference that is (usually) assembled from a single individual, pangenomes aim to represent all of the genomic variation found in a group of organisms. The term 'pangenome' is currently used to describe multiple different types of genomic information, and limited language is available to differentiate between them. This is frustrating for researchers working in the field and confusing for researchers new to the field. Here, we provide an introduction to pangenomics relevant to both prokaryotic and eukaryotic organisms and propose a formalization of the language used to describe pangenomes (see the Glossary) to improve the specificity of discussion in the field.",pangenome,9.5,Q1,Briefings in Bioinformatics
38663087,Beyond the Human Genome Project: The Age of Complete Human Genome Sequences and Pangenome References.,Taylor Dylan J; Eizenga Jordan M; Li Qiuhui; Das Arun; Jenike Katharine M; Kenny Eimear E; Miga Karen H; Monlong Jean; McCoy Rajiv C; Paten Benedict; Schatz Michael C,"Department of Biology, Johns Hopkins University, Baltimore, Maryland, USA; email: dtaylo95@jhu.edu, rajiv.mccoy@jhu.edu, mschatz@cs.jhu.edu.; Genomics Institute, University of California, Santa Cruz, California, USA; email: jeizenga@ucsc.edu, khmiga@ucsc.edu, bpaten@ucsc.edu.; Department of Computer Science, Johns Hopkins University, Baltimore, Maryland, USA; email: qli111@jh.edu, arun.das@jhu.edu.; Department of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA; email: kjenike1@jh.edu.; Institute for Genomic Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; email: eimear.kenny@mssm.edu.; Department of Biomolecular Engineering, University of California, Santa Cruz, California, USA.; Institut de Recherche en Santé Digestive, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France; email: jean.monlong@inserm.fr.",Annual review of genomics and human genetics,2024-08-06,10.1146/annurev-genom-021623-081639,0,"Sequence Analysis, DNA; precision medicine; genetic diversity; Genetic Variation; telomere-to-telomere; Genome, Human; Telomere; Humans; Genomics; pangenome; reference genome sequence; Human Genome Project","The Human Genome Project was an enormous accomplishment, providing a foundation for countless explorations into the genetics and genomics of the human species. Yet for many years, the human genome reference sequence remained incomplete and lacked representation of human genetic diversity. Recently, two major advances have emerged to address these shortcomings: complete gap-free human genome sequences, such as the one developed by the Telomere-to-Telomere Consortium, and high-quality pangenomes, such as the one developed by the Human Pangenome Reference Consortium. Facilitated by advances in long-read DNA sequencing and genome assembly algorithms, complete human genome sequences resolve regions that have been historically difficult to sequence, including centromeres, telomeres, and segmental duplications. In parallel, pangenomes capture the extensive genetic diversity across populations worldwide. Together, these advances usher in a new era of genomics research, enhancing the accuracy of genomic analysis, paving the path for precision medicine, and contributing to deeper insights into human biology.",pangenome,8.7,Q1,Annual Review of Genomics and Human Genetics
37150050,TIR-domain enzymatic activities at the heart of plant immunity.,Locci Federica; Wang Junli; Parker Jane E,"Department of Plant-Microbe Interactions, Max-Planck Institute for Plant Breeding Research, Carl-von-Linné-Weg 10, Cologne, 50829, Germany.; Department of Plant-Microbe Interactions, Max-Planck Institute for Plant Breeding Research, Carl-von-Linné-Weg 10, Cologne, 50829, Germany; Cologne-Düsseldorf Cluster of Excellence on Plant Sciences (CEPLAS), 40225, Düsseldorf, Germany. Electronic address: parker@mpipz.mpg.de.",Current opinion in plant biology,2023-05-05,10.1016/j.pbi.2023.102373,0,TNL receptor; Animals; Cell death; NADase; TIR protein; Interleukin-1; Bacteria; Disease resistance; Disease Resistance; Host-pathogen interaction; Mammals; Helper NLR; Plant Immunity; Plants; Plant Diseases; EDS1; Plant Proteins; Arabidopsis Proteins,"Toll/interleukin-1/resistance (TIR) domain proteins contribute to innate immunity in all cellular kingdoms. TIR modules are activated by self-association and in plants, mammals and bacteria, some TIRs have enzymatic functions that are crucial for disease resistance and/or cell death. Many plant TIR-only proteins and pathogen effector-activated TIR-domain NLR receptors are NAD+ hydrolysing enzymes. Biochemical, structural and functional studies established that for both plant TIR-protein types, and certain bacterial TIRs, NADase activity generates bioactive signalling intermediates which promote resistance. A set of plant TIR-catalysed nucleotide isomers was discovered which bind to and activate EDS1 complexes, promoting their interactions with co-functioning helper NLRs. Analysis of TIR enzymes across kingdoms fills an important gap in understanding how pathogen disturbance induces TIR-regulated immune responses.",plant,8.3,Q1,Current Opinion in Plant Biology
37801737,Jasmonates and salicylic acid: Evolution of defense hormones in land plants.,Monte Isabel,"ZMBP, University of Tuebingen, Auf der Morgenstelle 32, 72076 Tuebingen Germany. Electronic address: isabel.monte@zmbp.uni-tuebingen.de.",Current opinion in plant biology,2023-10-04,10.1016/j.pbi.2023.102470,0,"Plant defense; Phytohormone; Jasmonates; Plant Growth Regulators; Salicylic acid; Plant evolution; Cyclopentanes; Embryophyta; Oxylipins; Gene Expression Regulation, Plant; Plant Diseases; Land plants; Hormones; Salicylic Acid","The emergence of plant hormone signaling pathways is deeply intertwined with land plant evolution. In angiosperms, two plant hormones, salicylic Acid (SA) and Jasmonates (JAs), play a key role in plant defense, where JAs-mediated defenses are typically activated in response to herbivores and necrotrophic pathogens, whereas SA is prioritized against hemi/biotrophic pathogens. Thus, studying the evolution of SA and JAs and their crosstalk is essential to understand the evolution of molecular plant-microbe interactions (EvoMPMI) in land plants. Recent advances in the evolution of SA and JAs biosynthesis, signaling, and crosstalk in land plants illustrated that the insight gained in angiosperms does not necessarily apply to non-seed plant lineages, where the receptors perceive different ligands and the hormones activate pathways independently on the canonical receptors. In this review, recent findings on the two main defense hormones (JAs and SA) in non-seed plants, including functional studies in the bryophyte model Marchantia polymorpha, will be discussed.",plant,8.3,Q1,Current Opinion in Plant Biology
38044571,Seed-to-Seed: Plant Core Vertically Transmitted Microbiota.,Zeng Quan; Zhao Yang; Shen Wei; Han Dejun; Yang Mingming,"College of Agronomy, Northwest A&F University, Yangling, Shaanxi 712100, China.",Journal of agricultural and food chemistry,2023-12-03,10.1021/acs.jafc.3c07092,0,"Plant Development; plant microbial breeding; Seeds; plant core microbiomes; vertical transmission; plant microbial interaction; Plant Breeding; seed-transmitted microbiota; Crops, Agricultural; Microbiota; host jumping","The plant core microbiota transmitted by seeds have been demonstrated to exist in seeds and adult plants of several crops for multiple generations. They are closely related to plants and are relatively conserved throughout evolution, domestication, and breeding. These microbiota play a vital role in the early stages of plant growth. However, information about their colonization routes, transmission pathways, and final fate remains fragmentary. This review delves into the concept of these microbiota, their colonization sources, transmission pathways, and how they change throughout plant evolution, domestication, and breeding, as well as their effects on plants, based on relevant literature. Finally, the significant potential of incorporating the practical application of seed-transmitted microbiota into plant microbial breeding is emphasized.",plant,5.9,Q1,Journal of Genetics and Genomics
37846049,PanKmer: k-mer-based and reference-free pangenome analysis.,Aylward Anthony J; Petrus Semar; Mamerto Allen; Hartwick Nolan T; Michael Todd P,"The Plant Molecular and Cellular Biology Laboratory, The Salk Institute for Biological Studies, La Jolla, CA 92037, United States.","Bioinformatics (Oxford, England)",2023-10-03,10.1093/bioinformatics/btad621,0,"Sequence Analysis, DNA; Documentation; Eukaryota; Humans; Genome; Software","Pangenomes are replacing single reference genomes as the definitive representation of DNA sequence within a species or clade. Pangenome analysis predominantly leverages graph-based methods that require computationally intensive multiple genome alignments, do not scale to highly complex eukaryotic genomes, limit their scope to identifying structural variants (SVs), or incur bias by relying on a reference genome. Here, we present PanKmer, a toolkit designed for reference-free analysis of pangenome datasets consisting of dozens to thousands of individual genomes. PanKmer decomposes a set of input genomes into a table of observed k-mers and their presence-absence values in each genome. These are stored in an efficient k-mer index data format that encodes SNPs, INDELs, and SVs. It also includes functions for downstream analysis of the k-mer index, such as calculating sequence similarity statistics between individuals at whole-genome or local scales. For example, k-mers can be ""anchored"" in any individual genome to quantify sequence variability or conservation at a specific locus. This facilitates workflows with various biological applications, e.g. identifying cases of hybridization between plant species. PanKmer provides researchers with a valuable and convenient means to explore the full scope of genetic variation in a population, without reference bias. PanKmer is implemented as a Python package with components written in Rust, released under a BSD license. The source code is available from the Python Package Index (PyPI) at https://pypi.org/project/pankmer/ as well as Gitlab at https://gitlab.com/salk-tm/pankmer. Full documentation is available at https://salk-tm.gitlab.io/pankmer/.",pangenome,5.8,Q1,"Bioinformatics (Oxford, England)"
37164018,Co-transcriptional genome surveillance by HUSH is coupled to termination machinery.,Spencley Andrew L; Bar Shiran; Swigut Tomek; Flynn Ryan A; Lee Cameron H; Chen Liang-Fu; Bassik Michael C; Wysocka Joanna,"Department of Chemical and Systems Biology, Stanford University School of Medicine, Stanford, CA, USA; Cancer Biology Program, Stanford University School of Medicine, Stanford, CA, USA.; Department of Chemical and Systems Biology, Stanford University School of Medicine, Stanford, CA, USA.; Stem Cell Program, Boston Children's Hospital, Boston, MA, USA; Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA, USA.; Department of Genetics, Stanford University School of Medicine, Stanford, CA, USA.; Department of Chemical and Systems Biology, Stanford University School of Medicine, Stanford, CA, USA; Department of Developmental Biology, Stanford University School of Medicine, Stanford, CA, USA; Institute of Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine, Stanford, CA, USA; Howard Hughes Medical Institute, Stanford University School of Medicine, Stanford, CA, USA. Electronic address: wysocka@stanford.edu.",Molecular cell,2023-05-09,10.1016/j.molcel.2023.04.014,0,"gene silencing; SETDB1; Transcription, Genetic; CPSF; Gene Silencing; MPP8; transposable elements; heterochromatin; Transcription Factors; WDR82; HUSH complex; Genome; RNA; transcription termination; TASOR","The HUSH complex recognizes and silences foreign DNA such as viruses, transposons, and transgenes without prior exposure to its targets. Here, we show that endogenous targets of the HUSH complex fall into two distinct classes based on the presence or absence of H3K9me3. These classes are further distinguished by their transposon content and differential response to the loss of HUSH. A de novo genomic rearrangement at the Sox2 locus induces a switch from H3K9me3-independent to H3K9me3-associated HUSH targeting, resulting in silencing. We further demonstrate that HUSH interacts with the termination factor WDR82 and-via its component MPP8-with nascent RNA. HUSH accumulates at sites of high RNAPII occupancy including long exons and transcription termination sites in a manner dependent on WDR82 and CPSF. Together, our results uncover the functional diversity of HUSH targets and show that this vertebrate-specific complex exploits evolutionarily ancient transcription termination machinery for co-transcriptional chromatin targeting and genome surveillance.",genome,4.9,Q1,Molecular Ecology
37227251,Challenges in prokaryote pangenomics.,Tonkin-Hill Gerry; Corander Jukka; Parkhill Julian,"Department of Biostatistics, University of Oslo, Blindern, Norway.; Parasites and Microbes, Wellcome Sanger Institute, Cambridge, UK.; Helsinki Institute for Information Technology HIIT, Department of Mathematics and Statistics, University of Helsinki, Helsinki, Finland.; Department of Veterinary Medicine, University of Cambridge, Cambridge, UK.",Microbial genomics,2023-05-01,10.1099/mgen.0.001021,0,"Evolution, Molecular; Bacteria; bacteria; Phylogeny; gene annotation; pangenome; Gene Transfer, Horizontal; horizontal gene transfer; Prokaryotic Cells","Horizontal gene transfer (HGT) and the resulting patterns of gene gain and loss are a fundamental part of bacterial evolution. Investigating these patterns can help us to understand the role of selection in the evolution of bacterial pangenomes and how bacteria adapt to a new niche. Predicting the presence or absence of genes can be a highly error-prone process that can confound efforts to understand the dynamics of horizontal gene transfer. This review discusses both the challenges in accurately constructing a pangenome and the potential consequences errors can have on downstream analyses. We hope that by summarizing these issues researchers will be able to avoid potential pitfalls, leading to improved bacterial pangenome analyses.",pangenome,3.9,Q2,Microbial genomics
37343338,Transposon waves at the water-to-land transition.,Falcon Francisco; Tanaka Elly M; Rodriguez-Terrones Diego,"Institute of Molecular Pathology (IMP), Vienna Biocenter (VBC), Campus Vienna Biocenter, 1030, Vienna, Austria; Vienna BioCenter PhD Program, Doctoral School of the University of Vienna and Medical University of Vienna, Vienna, Austria. Electronic address: https://twitter.com/@FcoJFalcon.; Institute of Molecular Pathology (IMP), Vienna Biocenter (VBC), Campus Vienna Biocenter, 1030, Vienna, Austria. Electronic address: elly.tanaka@imp.ac.at.; Institute of Molecular Pathology (IMP), Vienna Biocenter (VBC), Campus Vienna Biocenter, 1030, Vienna, Austria. Electronic address: diego.terrones@imp.ac.at.",Current opinion in genetics & development,2023-06-19,10.1016/j.gde.2023.102059,0,Animals; DNA Transposable Elements; Genomics; Humans; Genome; Biological Evolution,"The major transitions in vertebrate evolution are associated with significant genomic reorganizations. In contrast to the evolutionary processes that occurred at the origin of vertebrates or prior to the radiation of teleost fishes, no whole-genome duplication events occurred during the water-to-land transition, and it remains an open question how did genome dynamics contribute to this prominent evolutionary event. Indeed, the recent sequencing of sarcopterygian and amphibian genomes has revealed that the extant lineages immediately preceding and succeeding this transition harbor an exceptional number of transposable elements and it is tempting to speculate that these sequences might have catalyzed the adaptations that enabled vertebrates to venture into land. Here, we review the genome dynamics associated with the major transitions in vertebrate evolution and discuss how the highly repetitive genomic landscapes revealed by recent efforts to characterize the genomes of amphibians and sarcopterygians argue for turbulent genome dynamics occurring before the water-to-land transition and possibly enabling it.",genome,3.7,Q2,Current Opinion in Genetics & Development
37267130,PanVA: Pangenomic Variant Analysis.,van den Brandt Astrid; Jonkheer Eef M; van Workum Dirk-Jan M; van de Wetering Huub; Smit Sandra; Vilanova Anna,,IEEE transactions on visualization and computer graphics,2024-07-01,10.1109/TVCG.2023.3282364,0,User-Computer Interface; Genetic Variation; Computer Graphics; Genomics; Phenotype; Software,"Genomics researchers increasingly use multiple reference genomes to comprehensively explore genetic variants underlying differences in detectable characteristics between organisms. Pangenomes allow for an efficient data representation of multiple related genomes and their associated metadata. However, current visual analysis approaches for exploring these complex genotype-phenotype relationships are often based on single reference approaches or lack adequate support for interpreting the variants in the genomic context with heterogeneous (meta)data. This design study introduces PanVA, a visual analytics design for pangenomic variant analysis developed with the active participation of genomics researchers. The design uniquely combines tailored visual representations with interactions such as sorting, grouping, and aggregation, allowing users to navigate and explore different perspectives on complex genotype-phenotype relations. Through evaluation in the context of plants and pathogen research, we show that PanVA helps researchers explore variants in genes and generate hypotheses about their role in phenotypic variation.",pangenome,3.6,Q1,IEEE/ACM Transactions on Computational Biology and Bioinformatics
39282288,A Draft Pacific Ancestry Pangenome Reference.,Littlefield Connor; Lazaro-Guevara Jose M; Stucki Devorah; Lansford Michael; Pezzolesi Melissa H; Taylor Emma J; Wolfgramm Etoni-Ma'asi C; Taloa Jacob; Lao Kime; Dumaguit C Dave C; Ridge Perry G; Tavana Justina P; Holland William L; Raphael Kalani L; Pezzolesi Marcus G,,bioRxiv : the preprint server for biology,2024-08-26,10.1101/2024.08.07.606392,0,,"Individuals of Pacific ancestry suffer some of the highest rates of health disparities yet remain vastly underrepresented in genomic research, including currently available linear and pangenome references. To begin addressing this, we developed the first Pacific ancestry pangenome reference using 23 individuals with diverse Pacific ancestry. We assembled 46 haploid genomes from these 23 individuals, resulting in highly accurate and contiguous genome assemblies with an average quality value of 55.0 and an average N50 of 40.7 Mb, marking the first de novo assembly of highly accurate Pacific ancestry genomes. We combined these assemblies to create a pangenome reference, which added 30.6 Mb of novel sequence missing from the Human Pangenome Reference Consortium (HPRC) reference. Mapping short reads to this pangenome reduced variant call errors and yielded more true-positive variants compared to the HPRC and T2T-CHM13 references. This Pacific ancestry pangenome reference serves as a resource to enhance genetic analyses for this underserved population.",pangenome,,,
37690888,The searchable chromosome.,Grosse-Holz Simon,"Center for Systems Biology Dresden, Pfotenhauerstraße 108, 01307 Dresden, Germany; Max-Planck Institute for the Physics of Complex Systems, Nöthnitzer Str. 38, 01187 Dresden, Germany. Electronic address: sgh@pks.mpg.de.",Trends in genetics : TIG,2023-09-08,10.1016/j.tig.2023.08.006,0,live-cell microscopy; search processes; Chromosomes; Genome; genome organization,"To date, genome structure and dynamics have been studied mostly independently; their interplay is a notable blind spot of the field. Brückner, Chen, et al. recently demonstrated an integrated experimental approach sensitive to both, uncovering a striking robustness of enhancer-promoter search times (dynamics) to changes in genomic separation (structure).",genome,,,
37714734,Whole-genome doubling in tissues and tumors.,Vittoria Marc A; Quinton Ryan J; Ganem Neil J,"Department of Internal Medicine, Yale School of Medicine, New Haven, CT 06510, USA. Electronic address: marc.vittoria@yale.edu.; Department of Medicine, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Medicine, Division of Hematology and Oncology, Boston University Chobanian and Avedisian School of Medicine, Boston, MA 02118, USA; Department of Pharmacology, Physiology, and Biophysics, Boston University Chobanian and Avedisian School of Medicine, Boston, MA 02118, USA. Electronic address: nganem@bu.edu.",Trends in genetics : TIG,2023-09-14,10.1016/j.tig.2023.08.004,0,Neoplasms; Cell Division; whole-genome doubling; Cell Physiological Phenomena; KIF18A; CIN; binucleate; polyploid; Humans; Genome; Tetraploidy; tetraploid,"The overwhelming majority of proliferating somatic human cells are diploid, and this genomic state is typically maintained across successive cell divisions. However, failures in cell division can induce a whole-genome doubling (WGD) event, in which diploid cells transition to a tetraploid state. While some WGDs are developmentally programmed to produce nonproliferative tetraploid cells with specific cellular functions, unscheduled WGDs can be catastrophic: erroneously arising tetraploid cells are ill-equipped to cope with their doubled cellular and chromosomal content and quickly become genomically unstable and tumorigenic. Deciphering the genetics that underlie the genesis, physiology, and evolution of whole-genome doubled (WGD+) cells may therefore reveal therapeutic avenues to selectively eliminate pathological WGD+ cells.",genome,,,
